30 backtests, 4 at a time
preserver  robust          10s solves= 47 CAGR   2.2% sharpe -0.00 maxDD  -0.0% cvar -0.00% | SPY CAGR 14.9%
preserver  markowitz       12s solves= 47 CAGR   6.5% sharpe 0.61 maxDD -18.2% cvar 1.04% | SPY CAGR 14.9%
preserver  equal            3s solves= 49 CAGR  12.9% sharpe 0.71 maxDD -33.0% cvar 2.37% | SPY CAGR 14.9%
preserver  markowitz_lw    14s solves= 47 CAGR   6.4% sharpe 0.60 maxDD -18.2% cvar 1.05% | SPY CAGR 14.9%
steady     markowitz        8s solves= 47 CAGR   8.4% sharpe 0.63 maxDD -22.3% cvar 1.51% | SPY CAGR 14.9%
steady     markowitz_lw     8s solves= 47 CAGR   8.4% sharpe 0.63 maxDD -22.3% cvar 1.52% | SPY CAGR 14.9%
steady     equal            3s solves= 49 CAGR  12.9% sharpe 0.71 maxDD -33.0% cvar 2.37% | SPY CAGR 14.9%
steady     robust           8s solves= 47 CAGR   2.2% sharpe -0.00 maxDD  -0.0% cvar -0.00% | SPY CAGR 14.9%
preserver  cvar            33s solves= 47 CAGR   6.2% sharpe 0.60 maxDD -17.9% cvar 0.99% | SPY CAGR 14.9%
builder    markowitz        9s solves= 48 CAGR  10.7% sharpe 0.66 maxDD -28.7% cvar 2.02% | SPY CAGR 14.9%
builder    markowitz_lw     9s solves= 48 CAGR  10.8% sharpe 0.67 maxDD -28.5% cvar 2.03% | SPY CAGR 14.9%
builder    equal            3s solves= 49 CAGR  12.9% sharpe 0.71 maxDD -33.0% cvar 2.37% | SPY CAGR 14.9%
builder    robust           8s solves= 47 CAGR   2.2% sharpe -0.00 maxDD  -0.0% cvar -0.00% | SPY CAGR 14.9%
steady     cvar            35s solves= 47 CAGR   9.0% sharpe 0.70 maxDD -23.8% cvar 1.42% | SPY CAGR 14.9%
maverick   markowitz        8s solves= 50 CAGR  14.4% sharpe 0.75 maxDD -30.6% cvar 2.55% | SPY CAGR 14.9%
maverick   markowitz_lw    10s solves= 49 CAGR  14.6% sharpe 0.75 maxDD -31.9% cvar 2.58% | SPY CAGR 14.9%
builder    cvar            33s solves= 49 CAGR  10.5% sharpe 0.68 maxDD -27.4% cvar 1.89% | SPY CAGR 14.9%
maverick   equal            3s solves= 49 CAGR  12.9% sharpe 0.71 maxDD -33.0% cvar 2.37% | SPY CAGR 14.9%
sprinter   markowitz        3s solves= 15 CAGR   7.2% sharpe 0.84 maxDD  -9.4% cvar 1.13% | SPY CAGR 10.0%
maverick   robust           9s solves= 47 CAGR   2.2% sharpe -0.00 maxDD  -0.0% cvar -0.00% | SPY CAGR 14.9%
sprinter   robust           3s solves= 15 CAGR   1.1% sharpe 0.00 maxDD   0.0% cvar -0.00% | SPY CAGR 10.0%
sprinter   markowitz_lw     3s solves= 15 CAGR   7.2% sharpe 0.85 maxDD  -9.0% cvar 1.12% | SPY CAGR 10.0%
sprinter   equal            1s solves= 15 CAGR  11.4% sharpe 0.94 maxDD -13.8% cvar 1.80% | SPY CAGR 10.0%
sprinter   cvar            10s solves= 15 CAGR   8.1% sharpe 0.98 maxDD  -8.6% cvar 1.12% | SPY CAGR 10.0%
maverick   cvar            27s solves= 49 CAGR  14.6% sharpe 0.78 maxDD -29.1% cvar 2.43% | SPY CAGR 14.9%
ethical    markowitz        9s solves= 48 CAGR  10.5% sharpe 0.70 maxDD -25.3% cvar 1.83% | SPY CAGR 14.9%
ethical    markowitz_lw    10s solves= 48 CAGR  10.6% sharpe 0.70 maxDD -25.7% cvar 1.85% | SPY CAGR 14.9%
ethical    equal            3s solves= 50 CAGR  12.9% sharpe 0.71 maxDD -33.1% cvar 2.38% | SPY CAGR 14.9%
ethical    robust          15s solves= 47 CAGR   2.2% sharpe -0.00 maxDD  -0.0% cvar -0.00% | SPY CAGR 14.9%
ethical    cvar            31s solves= 47 CAGR  10.5% sharpe 0.74 maxDD -26.6% cvar 1.70% | SPY CAGR 14.9%
