date,SPY,IJR,EFA,EEM,AGG,TLT,SHY,LQD,GLD,VNQ
2004-01-02,73.644165,16.772152,24.196959,12.007375,49.241650,39.806244,53.282532,43.827896,,
2004-01-05,74.445312,16.976419,24.662722,12.428685,49.299854,39.702538,53.289032,43.875832,,
2004-01-06,74.518166,16.936567,24.699774,12.288250,49.522835,40.140915,53.353802,44.271103,,
2004-01-07,74.769707,17.069832,24.452776,12.316906,49.634388,40.301224,53.392685,44.307026,,
2004-01-08,75.067642,17.115915,24.803869,12.363482,49.619812,40.287086,53.399117,44.378864,,
2004-01-09,74.412201,16.963961,24.646847,12.341270,50.031883,40.989510,53.528645,44.738186,,
2004-01-12,74.961716,17.150789,24.639788,12.330523,49.891293,40.956512,53.561039,44.814049,,
2004-01-13,74.524757,17.174442,24.496878,12.260305,50.007652,41.234650,53.625839,44.933807,,
2004-01-14,75.147148,17.281569,24.708599,12.279654,50.002792,41.437355,53.573986,45.029659,,
2004-01-15,75.332474,17.302738,24.558630,12.028871,50.065845,41.592911,53.567532,45.233238,,
2004-01-16,75.630402,17.300257,24.470421,12.080460,50.027046,41.300625,53.528645,45.033623,,
2004-01-20,75.610558,17.484583,24.735060,12.431554,49.983433,41.291191,53.554585,44.941830,,
2004-01-21,76.206459,17.561810,25.034992,12.448033,50.017334,41.390194,53.586948,45.045589,,
2004-01-22,76.007820,17.437254,25.050869,12.416508,50.104603,41.691952,53.625839,45.273178,,
2004-01-23,75.762856,17.587971,24.782690,12.395730,49.983433,41.192204,53.548084,44.913876,,
2004-01-26,76.716255,17.743658,24.862080,12.478127,49.789509,40.942375,53.509243,44.666344,,
2004-01-27,75.928383,17.487068,24.752699,12.415071,49.862206,41.196915,53.573986,44.937813,,
2004-01-28,75.061058,17.250425,24.435125,12.239527,49.760414,40.833958,53.438046,44.582489,,
2004-01-29,75.133835,17.147053,24.466890,12.046785,49.644058,40.749073,53.450916,44.574501,,
2004-01-30,75.133835,17.184414,24.403376,12.030304,49.741016,41.031914,53.476814,44.682312,,
2004-02-02,75.458290,17.145813,24.346916,12.033171,49.754642,40.945770,53.495712,44.670250,,
2004-02-03,75.332474,17.133350,24.391026,11.965821,49.890759,41.154083,53.547546,44.762463,,
2004-02-04,74.716736,16.800802,24.126385,11.858343,49.895615,41.073620,53.515156,44.726368,,
2004-02-05,74.935242,16.941542,24.226952,11.854759,49.754642,40.912640,53.476166,44.650257,,
2004-02-06,75.776093,17.300257,24.683895,12.124884,49.958763,41.362324,53.560570,44.782475,,
2004-02-09,75.795967,17.374975,24.839153,12.299714,49.992828,41.485416,53.579960,44.970909,,
2004-02-10,76.040932,17.549351,24.946772,12.288969,49.885883,41.253498,53.508659,44.838631,,
2004-02-11,76.848686,17.716244,25.229057,12.479564,50.080326,41.561169,53.592937,45.111168,,
2004-02-12,76.570610,17.641525,25.008522,12.473108,50.085171,41.385990,53.612419,45.030983,,
2004-02-13,76.226288,17.424807,24.976763,12.481709,50.308815,41.561169,53.690258,45.287510,,
2004-02-17,76.914917,17.667683,25.458406,12.732491,50.187263,41.532757,53.644836,45.155273,,
2004-02-18,76.577209,17.635298,25.105558,12.559095,50.148369,41.589531,53.651295,45.051079,,
2004-02-19,76.292526,17.337618,25.273165,12.449467,50.201855,41.632156,53.677261,45.211376,,
2004-02-20,76.060791,17.272848,24.964428,12.309743,50.046284,41.343380,53.618862,44.990929,,
2004-02-23,75.868759,17.076050,25.034992,12.202269,50.182419,41.599022,53.670780,45.115189,,
2004-02-24,75.736366,17.125885,24.937950,12.137782,50.138699,41.674759,53.677261,45.159306,,
2004-02-25,76.054214,17.347574,24.752699,12.270339,50.255344,41.741013,53.716148,45.191353,,
2004-02-26,76.100525,17.449717,24.761524,12.331240,50.172668,41.608490,53.696690,45.223408,,
2004-02-27,76.153496,17.498291,24.964428,12.506075,50.308815,41.968220,53.735592,45.355694,,
2004-03-01,76.908226,17.840809,25.299627,12.791245,50.331268,41.952053,53.718094,45.341587,,
2004-03-02,76.458015,17.736191,24.893841,12.689497,50.155792,41.685905,53.666119,45.253040,,
2004-03-03,76.597092,17.767321,24.840914,12.610682,50.102200,41.609890,53.627155,45.232956,,
2004-03-04,76.795692,17.920519,24.920309,12.696667,50.224045,41.795265,53.672638,45.305363,,
2004-03-05,77.053932,17.899345,25.211409,12.743236,50.594376,42.603180,53.789505,45.788189,,
2004-03-08,76.113762,17.748638,25.049107,12.621432,50.764927,42.855083,53.874020,45.916927,,
2004-03-09,75.809204,17.656471,24.876205,12.539030,50.838017,43.140240,53.906460,46.009468,,
2004-03-10,74.538010,17.275343,24.477480,12.252425,50.779564,43.111729,53.874020,46.158363,,
2004-03-11,73.571365,17.095985,24.080515,11.987313,50.891605,43.173504,53.919449,45.961208,,
2004-03-12,74.538010,17.524450,24.292233,12.087626,50.735710,42.907387,53.880524,45.908920,,
2004-03-15,73.624290,17.125885,23.879393,11.861926,50.745399,42.978687,53.854507,45.961208,,
2004-03-16,74.014923,17.125885,24.099924,12.008812,50.867233,43.335098,53.893467,46.170425,,
2004-03-17,74.842552,17.387438,24.602745,12.173608,50.842884,43.263821,53.893467,46.194599,,
2004-03-18,74.862373,17.250425,24.593924,12.245262,50.794121,43.035709,53.874020,46.001438,,
2004-03-19,73.789383,17.150789,24.276354,12.084044,50.740536,42.978687,53.893467,45.929043,,
2004-03-22,72.852554,16.894211,23.960541,11.890583,50.872128,43.240078,53.925964,46.106033,,
2004-03-23,72.726334,16.895451,24.144035,12.010242,50.876976,43.316128,53.938938,46.190548,,
2004-03-24,72.786140,16.845633,24.048765,12.019560,50.906216,43.292328,53.951904,46.146305,,
2004-03-25,73.749542,17.165726,24.505703,12.137062,50.876976,43.125988,53.945423,46.021572,,
2004-03-26,73.769440,17.205589,24.399851,12.114852,50.701599,42.669773,53.893467,45.679558,,
